GEPS WMS Empty Locations Report,,,
,,,
organization code,Sub Inventory Code,LOCATOR,Quantity 
ÿ H03,ÿNON-CAP,0001.0.0.0.AD,ÿÿ0 
ÿ H03,ÿNON-CAP,0001.0.0.0.AI,ÿÿ0 
ÿ H03,ÿNON-CAP,0001.0.0.0.AN,ÿÿ0 
ÿ H03,ÿNON-CAP,0001.0.0.0.AO,ÿÿ0 
ÿ H03,ÿNON-CAP,0001.0.0.0.BS,ÿÿ0 
ÿ H03,ÿNON-CAP,0001.0.0.0.CN,ÿÿ0 
ÿ H03,ÿNON-CAP,0001.0.0.0.KR,ÿÿ0 
ÿ H03,ÿNON-CAP,0001.0.0.0H.BO,ÿÿ0 
ÿ H03,ÿNON-CAP,0001.0.02.0.AD,ÿÿ0 
ÿ H03,ÿNON-CAP,0001.0.09.0.AD,ÿÿ0 
ÿ H03,ÿNON-CAP,0001.0010.0.220.AQ,ÿÿ0 
ÿ H03,ÿNON-CAP,0001.0012.0.0.AD,ÿÿ0 
ÿ H03,ÿNON-CAP,0001.01.0G.02.AD,ÿÿ0 
ÿ H03,ÿNON-CAP,0001.02.0.0.AD,ÿÿ0 
ÿ H03,ÿNON-CAP,0001.02.0A.12.AD,ÿÿ0 
ÿ H03,ÿNON-CAP,0001.05.00.00.IN,ÿÿ0 
ÿ H03,ÿNON-CAP,0001.05.0I.06.US,ÿÿ0 
ÿ H03,ÿNON-CAP,0001.06.0.0.AD,ÿÿ0 
ÿ H03,ÿNON-CAP,0001.07.0I.01.MX,ÿÿ0 
ÿ H03,ÿNON-CAP,0001.0D.04.0.AD,ÿÿ0 
ÿ H03,ÿNON-CAP,0001.10.0G.11.US,ÿÿ0 
ÿ H03,ÿNON-CAP,0001.11.0B.02.AD,ÿÿ0 
ÿ H03,ÿNON-CAP,0001.15.0.0.AD,ÿÿ0 
ÿ H03,ÿNON-CAP,0001.15.0C.01.AD,ÿÿ0 
ÿ H03,ÿNON-CAP,0001.27.00.0.AD,ÿÿ0 
ÿ H03,ÿNON-CAP,0001.30.0E.02.AD,ÿÿ0 
ÿ H03,ÿNON-CAP,0001.31.0G.02.IN,ÿÿ0 
ÿ H03,ÿNON-CAP,0001.38.0C.01.US,ÿÿ0 
ÿ H03,ÿNON-CAP,0001.39.0B.02.US,ÿÿ0 
ÿ H03,ÿNON-CAP,0001.63.5.5.AD,ÿÿ0 
ÿ H03,ÿNON-CAP,0001.68.0E.02.AD,ÿÿ0 
ÿ H03,ÿNON-CAP,0001.73.0C.02.IN,ÿÿ0 
ÿ H03,ÿNON-CAP,0001.74.0C.01.CN,ÿÿ0 
ÿ H03,ÿNON-CAP,0001.77.0H.01.CN,ÿÿ0 
ÿ H03,ÿNON-CAP,0001.81.0C.04.US,ÿÿ0 
ÿ H03,ÿNON-CAP,10.0B.02.0.AD,ÿÿ0 
ÿ H03,ÿNON-CAP,10003182.0.0.0.AD,ÿÿ0 
ÿ H03,ÿNON-CAP,A.0.01.01.IN,ÿÿ0 
ÿ H03,ÿNON-CAP,A.0.01.01.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.0.0A.05.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.00.0C.00.FR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.00.0C.00.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.01.01.0.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.01.01.01.AD,ÿÿ0 
ÿ H03,ÿNON-CAP,A.01.01.01.BZ,ÿÿ0 
ÿ H03,ÿNON-CAP,A.01.01.01.CN,ÿÿ0 
ÿ H03,ÿNON-CAP,A.01.01.01.CZ,ÿÿ0 
ÿ H03,ÿNON-CAP,A.01.01.01.DO,ÿÿ0 
